,sex,age,l,m,s,loh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
576,1,576,-0.5656,16.0591,0.07855,L,12.872078476105754,13.81517414107048,14.871112214217266,16.0591,17.402676902267036,18.93095492252556,20.680297655820993
577,1,577,-0.5662,16.0564,0.07855,L,12.870095594392877,13.812942666603016,14.868637918336045,16.0564,17.399785224666438,18.927930672045132,20.67723711672809
578,1,578,-0.5667,16.0536,0.07854,L,12.868342832066595,13.810863554190759,14.866209008660903,16.0536,17.396597397535796,18.924346595338374,20.673262548720682
579,1,579,-0.5673,16.0509,0.07852999999999999,L,12.866700173128939,13.808885518815256,14.863876961236198,16.0509,17.393523676318875,18.920906866828847,20.66948614391695
580,1,580,-0.5679,16.0482,0.07852999999999999,L,12.864716843584171,13.806653800104936,14.861402575196182,16.0482,17.390632014055242,18.91788257188509,20.666425449457446
581,1,581,-0.5685,16.0455,0.07852,L,12.863073736410893,13.804675501958362,14.859070419091086,16.0455,17.387558341297016,18.914442867344018,20.662648966750734
582,1,582,-0.5691,16.0429,0.07852,L,12.861170301817971,13.802529674179373,14.856688588458587,16.0429,17.38477504622389,18.9115364162525,20.65971695505554
583,1,583,-0.5697,16.0402,0.07851,L,12.859526749912357,13.800551115519522,14.854356324747085,16.0402,17.38170142102159,18.90809673412834,20.65594039262316
584,1,584,-0.5703,16.0375,0.0785,L,12.857882933750744,13.798572397782264,14.852023992738784,16.0375,17.378627832209645,18.904657082924164,20.652163805368176
585,1,585,-0.5709,16.0349,0.0785,L,12.855979052193137,13.796426327830096,14.849642073611536,16.0349,17.375844550729337,18.901750586574376,20.64923164692204
586,1,586,-0.5715,16.0322,0.07849,L,12.85433479170057,13.794447349755131,14.847309634038526,16.0322,17.372771009504444,18.89831095787529,20.645454980035282
587,1,587,-0.5721,16.0296,0.07849,L,12.8524306436738,13.792301139066979,14.844927665724281,16.0296,17.3699877304445,18.89540442473481,20.64252272965932
588,1,588,-0.5726,16.0269,0.07848,L,12.850755875964058,13.790306761555486,14.842590808435453,16.0269,17.366908551093285,18.891938446267094,20.638676677320767
