m_boys_wt,s_boys_wt,m_girls_wt,s_girls_wt,m_boys_lh,s_boys_lh,m_girls_lh,s_girls_lh,m_boys_hc,s_boys_hc,m_girls_hc,s_girls_hc
0.305962861,0.173927546,0.214798972,0.173927546,3.673689127,0.052116878,3.642193079,0.052116878,28.72065926,1.313157797,27.92486763,1.313157797
0.327077031,0.173006997,0.235913128,0.173006997,3.679344177,0.051668979,3.647847891,0.051668979,28.84789848,1.302362919,28.05210876,1.302362919
0.347899616,0.172105253,0.256735712,0.172105253,3.68492651,0.051231183,3.653430462,0.051231183,28.97397232,1.291839123,28.1781826,1.291839123
0.368436188,0.171221837,0.277272284,0.171221837,3.690437794,0.050803248,3.658941746,0.050803248,29.09889603,1.281580091,28.30310631,1.281580091
0.388691396,0.170356393,0.297527492,0.170356393,3.695878983,0.05038495,3.664382935,0.05038495,29.22268105,1.271580458,28.42689133,1.271580458
0.408670634,0.169508487,0.317506731,0.169508487,3.701251745,0.049976058,3.669755459,0.049976058,29.34534836,1.261834025,28.54955673,1.261834025
0.42837882,0.168677732,0.337214917,0.168677732,3.706556797,0.049576357,3.675060749,0.049576357,29.46690941,1.25233531,28.67111778,1.25233531
0.44782111,0.167863727,0.356657207,0.167863727,3.711795807,0.049185626,3.680299759,0.049185626,29.58738136,1.243078828,28.79158974,1.243078828
0.467001706,0.167066112,0.375837803,0.167066112,3.716969967,0.048803668,3.68547368,0.048803668,29.70677567,1.234059334,28.91098595,1.234059334
0.485925496,0.166284546,0.394761592,0.166284546,3.722079992,0.048430275,3.690583944,0.048430275,29.82510948,1.225271463,29.02931976,1.225271463
0.504597068,0.165518641,0.413433135,0.165518641,3.727127314,0.048065249,3.695631266,0.048065249,29.94239616,1.21671021,29.14660645,1.21671021
0.523020804,0.164768055,0.4318569,0.164768055,3.732112885,0.047708396,3.700616837,0.047708396,30.05864906,1.208370686,29.26285934,1.208370686
0.541201532,0.164032444,0.450037628,0.164032444,3.737038136,0.047359522,3.705542088,0.047359522,30.17388535,1.200247765,29.37809563,1.200247765
0.55914259,0.163311526,0.467978686,0.163311526,3.741903782,0.047018461,3.710407734,0.047018461,30.28811264,1.192337275,29.49232292,1.192337275
0.576848567,0.162604928,0.485684663,0.162604928,3.746711016,0.046685029,3.715214729,0.046685029,30.40134621,1.184634209,29.60555649,1.184634209
0.594323516,0.161912382,0.503159642,0.161912382,3.751460552,0.046359055,3.719964504,0.046359055,30.5135994,1.177134156,29.71780968,1.177134156
0.611571491,0.161233544,0.520407557,0.161233544,3.756153822,0.046040364,3.724657536,0.046040364,30.62488556,1.169832826,29.82909584,1.169832826
0.628596306,0.160568148,0.537432373,0.160568148,3.760791302,0.045728795,3.729295254,0.045728795,30.73521614,1.162725806,29.93942451,1.162725806
0.645401776,0.159915879,0.554237843,0.159915879,3.765374422,0.045424189,3.733878374,0.045424189,30.84460258,1.155809045,30.04881287,1.155809045
0.661992073,0.159276456,0.570828199,0.159276456,3.769904137,0.045126379,3.73840785,0.045126379,30.95306206,1.149078131,30.15727234,1.149078131
