,sex,length,l,m,s,lorh,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
383,1,83.3,-0.3521,11.1071,0.08238,L,8.763642533801514,9.463349877221427,10.2407687325823,11.107100000000004,12.075552069105887,13.161775495461066,14.38440906469582
384,1,83.4,-0.3521,11.1293,0.08235,L,8.781885694402352,9.482802239534863,10.26153634320509,11.1293,12.099313908861545,13.187242239864894,14.41173876621441
385,1,83.5,-0.3521,11.1516,0.08231000000000001,L,8.800453642336228,9.50252163494526,10.282497292977709,11.1516,12.123058135655,13.212543675322234,14.438718051333671
386,1,83.6,-0.3521,11.174000000000001,0.08227999999999999,L,8.818861131295117,9.52214918118342,10.303451938223537,11.174000000000001,12.147034193424519,13.238240268394462,14.466294831425095
387,1,83.7,-0.3521,11.1966,0.08225,L,8.83742948889394,9.541949377707713,10.324592223414266,11.1966,12.171226171568575,13.264170485749638,14.494124986955276
388,1,83.8,-0.3521,11.2193,0.08222,L,8.856079818735717,9.561837027091432,10.345825950212431,11.219300000000004,12.195525348727111,13.29021582403676,14.522079004115756
389,1,83.9,-0.3521,11.2422,0.08219,L,8.874891083593262,9.581897375606616,10.36724534398566,11.2422,12.220040412865172,13.316494712024305,14.550286271370606
390,1,84.0,-0.3521,11.2651,0.08215,L,8.893950934273347,9.602141518192274,10.38876694763187,11.2651,12.244427862400261,13.34248697908652,14.57800898042592
391,1,84.1,-0.3521,11.2882,0.08212,L,8.912926794827277,9.62237724693472,10.41037348440977,11.2882,12.269157011310444,13.368995418960827,14.606462828878293
392,1,84.2,-0.3521,11.3114,0.08209,L,8.931984723500616,9.64270049891907,10.432073501643531,11.3114,12.293993311505675,13.395618873492515,14.635040360924325
393,1,84.3,-0.3521,11.3347,0.08205,L,8.951371858958561,9.663293995601244,10.453968611163027,11.334700000000003,12.318809899273285,13.422072413377146,14.66325988739336
394,1,84.4,-0.3521,11.3581,0.08202000000000001,L,8.970594522191194,9.683792729606704,10.475855827503782,11.3581,12.34386021553567,13.448925267084604,14.692083745280405
395,1,84.5,-0.3521,11.3817,0.08198,L,8.990226510592507,9.704647793713216,10.498030819175927,11.3817,12.368998960291265,13.475725436154725,14.720677013166107
396,1,84.6,-0.3521,11.4053,0.08195,L,9.009614004738374,9.725322080361638,10.520105273539802,11.4053,12.394263244978859,13.502807583163081,14.749747019888575
397,1,84.7,-0.3521,11.429,0.08191,L,9.029332977054844,9.746268260140312,10.542375718739523,11.429,12.419506744706677,13.529717467102339,14.778455159450402
398,1,84.8,-0.3521,11.4529,0.08188,L,9.048964395675014,9.76720344189067,10.564729689688587,11.452900000000003,12.445093620152704,13.557147189705754,14.807900457487293
399,1,84.9,-0.3521,11.4768,0.08184,L,9.068849439510652,9.788326075256634,10.587187864371122,11.4768,12.470550500649313,13.584285078831345,14.836852625192316
400,1,85.0,-0.3521,11.5007,0.08181000000000001,L,9.088487833044121,9.809266367027323,10.60954464950386,11.5007,12.496133937304329,13.611707169665877,14.866285185779896
401,1,85.1,-0.3521,11.5248,0.08177000000000001,L,9.108539030163593,9.830565513655284,10.632190586405518,11.5248,12.52180415888406,13.639072976254786,14.895481235800547
402,1,85.2,-0.3521,11.549000000000001,0.08174,L,9.128421536748784,9.851766838663234,10.65482696419563,11.549000000000001,12.547710093294437,13.666842436156665,14.925288742694596
403,1,85.3,-0.3521,11.5732,0.0817,L,9.148559945623134,9.873157267085645,10.677568445660768,11.573200000000003,12.573484959740245,13.694317714543065,14.954599260874003
404,1,85.4,-0.3521,11.5975,0.08166,L,9.168781790160079,9.894636212394575,10.700403949928484,11.5975,12.599366328034256,13.721906582797452,14.984031114549055
405,1,85.5,-0.3521,11.6218,0.08163,L,9.18875424557266,9.915930830415391,10.723136983438181,11.6218,12.625375539777483,13.749782467240934,15.013947981354967
406,1,85.6,-0.3521,11.6462,0.08159,L,9.209063387697663,9.937501119752625,10.74606806617014,11.6462,12.651361512479586,13.777480718642497,15.043494157207498
407,1,85.7,-0.3521,11.6707,0.08156000000000001,L,9.229201107790104,9.958971607526376,10.768988511971012,11.6707,12.677584480573836,13.80558542663287,15.073656390230731
408,1,85.8,-0.3521,11.6952,0.08152000000000001,L,9.249597607573712,9.980633284501113,10.792015196954685,11.695200000000003,12.703675029209263,13.833392998681884,15.103316785150724
409,1,85.9,-0.3521,11.7198,0.08148,L,9.270077639326292,10.002383548440323,10.815135943062407,11.7198,12.729872033559015,13.861314059012424,15.13309834738192
410,1,86.0,-0.3521,11.7444,0.08145,L,9.290305489296186,10.023947460478416,10.838153116066184,11.7444,12.75619819372116,13.889525004781479,15.16336963290881
411,1,86.1,-0.3521,11.769,0.08141,L,9.310793851790024,10.04570381702226,10.861277211171851,11.769,12.782391122886207,13.917437042155404,15.193136173939198
412,1,86.2,-0.3521,11.7937,0.08138,L,9.331108011256147,10.067358356352443,10.884389572179078,11.7937,12.808822352835373,13.945758389120167,15.223523453815373
413,1,86.3,-0.3521,11.8184,0.08134,L,9.351683844727624,10.089206182256264,10.907609313794934,11.818400000000004,12.835119805808507,13.973779633784947,15.253404028788118
414,1,86.4,-0.3521,11.8431,0.08131000000000001,L,9.372005225417949,10.110866009075343,10.930724584995986,11.8431,12.861547484187401,14.002093104120524,15.283778172090596
415,1,86.5,-0.3521,11.8678,0.08127999999999999,L,9.392329933205353,10.132528273349093,10.953841198527257,11.8678,12.887973522273724,14.030402933966485,15.3141462389574
416,1,86.6,-0.3521,11.8926,0.08123999999999999,L,9.412997183772598,10.154470455612337,10.977158174223126,11.8926,12.914373565417119,14.058529102224544,15.344133712003009
417,1,86.7,-0.3521,11.9173,0.08121,L,9.433329123333886,10.17613801422332,11.000277701207454,11.9173,12.940796049314633,14.086831051283594,15.374488638292751
418,1,86.8,-0.3521,11.9421,0.08118,L,9.453743554948005,10.197893405664765,11.023490878586838,11.942100000000003,12.967325478219307,14.11524755873693,15.40496648920558
419,1,86.9,-0.3521,11.9668,0.08114,L,9.474343947081746,10.219759191183387,11.04672049169255,11.9668,12.99361092053422,14.143242211628076,15.434802796678158
420,1,87.0,-0.3521,11.9916,0.08111,L,9.49476562977851,10.241519890277074,11.069936589375097,11.9916,13.020136788161546,14.17165082411242,15.465267486089258
421,1,87.1,-0.3521,12.0163,0.08108,L,9.515111471260129,10.26319762769516,11.093061718500383,12.0163,13.046552435662516,14.199937611807595,15.4955971267153
422,1,87.2,-0.3521,12.0411,0.08105,L,9.535539835593507,10.284963220132305,11.11628051002341,12.0411,13.07307501407508,14.228338927298058,15.526049642096254
423,1,87.3,-0.3521,12.0658,0.08102000000000001,L,9.555892346700505,10.306645841759302,11.139408327762874,12.065800000000003,13.099487379273294,14.256618433982627,15.556367136518686
424,1,87.4,-0.3521,12.0905,0.08098999999999999,L,9.57624819017492,10.328330903486991,11.16253748858212,12.0905,13.125898105150899,14.284894304628247,15.586678566012308
425,1,87.5,-0.3521,12.1152,0.08096,L,9.596607366574741,10.350018405595485,11.185667992560488,12.1152,13.152307191810731,14.313166539705744,15.616983931794165
426,1,87.6,-0.3521,12.1398,0.08093,L,9.616890658590718,10.37162291349026,11.208707509528793,12.1398,13.178606082327649,14.34131700498013,15.647154343712579
427,1,87.7,-0.3521,12.1645,0.0809,L,9.637256495947215,10.393315292350911,11.23184069737021,12.1645,13.205011894212596,14.369581977849652,15.677447598404614
428,1,87.8,-0.3521,12.1891,0.08087000000000001,L,9.657546436897912,10.414924667857697,11.254882892973617,12.189100000000003,13.231307516864318,14.397725196888324,15.707605927029983
429,1,87.9,-0.3521,12.2136,0.08084,L,9.677760462291307,10.43645102573895,11.277834088338073,12.2136,13.257492960441269,14.425746685111172,15.737629368845706
430,1,88.0,-0.3521,12.2382,0.08082,L,9.697788986072984,10.457867363251768,11.300769075941592,12.2382,13.283922051501243,14.454189199854353,15.76829283536062
431,1,88.1,-0.3521,12.2627,0.08079,L,9.718009070713826,10.47939815961968,11.32372271532383,12.2627,13.310104509236695,14.482204061933015,15.798305218302666
432,1,88.2,-0.3521,12.2871,0.08076,L,9.738153210673385,10.500845916496644,11.346585342116095,12.2871,13.336176803822415,14.510097229560104,15.82818277695713
